estimator,feature_engineer,loss,accuracy,cost_time,best_iterations,budget
extra_trees,select.boruta,0.237188,0.7628119180633147,9.31144,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.237188,0.7628119180633147,6.71838,"[16, 16, 16, 16, 16]",1
logistic_regression,generate.autofeat,0.237194,0.7628057107386716,31.8823,"[96, 16, 16, 16, 16]",1
extra_trees,generate.autofeat,0.237194,0.7628057107386716,10.7409,"[16, 16, 16, 16, 16]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,10.2492,"[0, 0, 0, 0, 1]",1
extra_trees,select.boruta,0.238305,0.7616945996275606,26.2635,"[16, 16, 16, 16, 16]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,3.14848,"[3, 1, 1, 1, 1]",1
extra_trees,generate.autofeat,0.238305,0.7616945996275606,21.7661,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,21.6033,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,10.3609,"[16, 16, 16, 16, 16]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,3.29201,"[3, 0, 0, 1, 0]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,7.58415,"[0, 0, 0, 0, 0]",1
logistic_regression,select.boruta,0.238305,0.7616945996275606,22.1218,"[16, 16, 16, 16, 16]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,8.39962,"[1, 0, 0, 1, 1]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,12.4937,"[0, 0, 0, 0, 0]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,5.02803,"[0, 0, 0, 0, 0]",1
extra_trees,select.boruta,0.238305,0.7616945996275606,29.9202,"[16, 16, 16, 16, 16]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,20.2264,"[0, 4, 3, 0, 0]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,20.1936,"[0, 0, 0, 0, 0]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,3.53523,"[1, 1, 0, 1, 1]",1
